id,text
citation_120,"<em>Official Souvenir Program: The Pow Wow, June 16–21, 1913</em>, Eastern Washington University Archives, John F. Kennedy Memorial Library, Cheney, WA."
citation_121,"Paula Becker, “Marguerite Motie Becomes the First Miss Spokane on March 29, 1912,” <em>HistoryLink.org</em>, Essay 9104, August 9, 2009, accessed December 3, 2025, https://www.historylink.org/File/9104."
citation_122,"Katherine G. Morrissey, “Miss Spokane and the Inland Northwest: Representations of Regions and Gender,” <em>Frontiers: A Journal of Women Studies</em> 22, no. 3 (2001): 6–12, https://doi.org/10.2307/3347234."
citation_123,"<em>Official Souvenir Program: The Pow Wow, June 16–21, 1913</em>, Eastern Washington University Archives, John F. Kennedy Memorial Library, Cheney, WA."
citation_124,"Charles A. (Charles August) Libby, <em>Spokane – Parades (#04), photograph</em>, August 1936, “Parade showing wagons, streetcars and buses,” Northwest Room, Spokane Public Library, accessed January 24, 2026, https://lange.spokanelibrary.org/items/show/2808."
citation_125,"<em>Spokane, The City Beautiful: A Souvenir of Spokane, Washington, and the Inland Empire</em>, n.d., Inland Northwest Special Collections, Spokane Public Library, Spokane, WA."
citation_126,"“Old National Bank Building #1, Riverside, Spokane, WA,” Pacific Coast Architecture Database (PCAD), accessed December 3, 2025, https://pcad.lib.washington.edu/."
citation_127,"Susan B. Matheson, “The Goddess Tyche,” <em>Yale University Art Gallery Bulletin</em> (1994): 18–33."
citation_128,"<em>The Western Architect</em> (1908), Inland Empire Architect Collection, Eastern Washington State Historical Society, Northwest Museum of Arts and Culture, Spokane, WA."
citation_129,"William Cronon, <em>Nature’s Metropolis: Chicago and the Great West</em>, Norton Paperback (New York: W. W. Norton &amp; Company, 1992)."
citation_130,"<em>Annual Illustrated Spokane Spokesman</em>, January 1892, Inland Northwest Special Collections, Spokane Public Library, Spokane, WA."
citation_131,"William H. Freeman, <em>The Press Club of Chicago: A History, with Sketches of Other Prominent Press Clubs of the United States, Illustrated</em> (Chicago: Press Club of Chicago, 1894)."
citation_132,"Hal K. Rothman, “Selling the Meaning of Place: Entrepreneurship, Tourism, and Community Transformation in the Twentieth-Century American West,” <em>Pacific Historical Review</em> 65, no. 4 (1996): 525–57."
citation_133,
citation_134,"“Then &amp; Now Gallery: Rainier Grand Hotel,” <em>Spokesman-Review</em>, May 2, 2022, accessed December 3, 2025, https://www.spokesman.com."
citation_135,"Jennifer M. Black, “Exchange Cards: Advertising, Album Making, and the Commodification of Sentiment in the Gilded Age,” <em>Winterthur Portfolio</em> 51, no. 1 (2017): 1–53, https://doi.org/10.1086/693448."
citation_136,"<em>Inland Empire Architect</em> (1911), Hyslop and Westcot Architects, Inland Empire Architect Collection, Eastern Washington State Historical Society, Northwest Museum of Arts and Culture, Spokane, WA."
citation_137,"<em>Wall Papers; Artistic Wall Hangings</em>, n.d., John W. Graham &amp; Co., Andrew T. Amos Papers, 1904–1911, MsSC 11, Eastern Washington State Historical Society, Northwest Museum of Arts and Culture, Spokane, WA."
citation_138,"A. Rutgers Van der Loeff Diaries, 1893?–1916, MsSC 125, Eastern Washington State Historical Society, Northwest Museum of Arts and Culture, Spokane, WA."
citation_139,"“Harper Joy Made Circus Part of His Life,” <em>Spokesman-Review</em>, December 20, 2007, accessed December 3, 2025, https://www.spokesman.com."
citation_140,"Doris J. Woodward, <em>Harper Joy: Spokane’s Man of Many Faces: Let the Show Begin</em> (Spokane, WA: Tornado Creek Publications, 2007)."
citation_141,"John Fahey, “Irrigation, Apples, and the Spokane Country,” <em>The Pacific Northwest Quarterly</em> 84, no. 1 (January 1993): 7–18."
citation_142,"“A Gigantic Orchard,” <em>Washington Standard</em>, June 24, 1910."
citation_143,"“Cut-Over Timber Lands Are Now Being Settled by Immigrants,” <em>Spokane Chronicle</em>, October 17, 1913, 8."
citation_144,"“Articles of Incorporation,” <em>The Spokane Press</em>, vol. 8, no. 197, May 28, 1910."
citation_145,"“Spokane Irrigation Parade to Be Historical Event,” <em>The San Juan Islander</em>, vol. 19, no. 27, July 30, 1909."
citation_146,"“Unanimous Vote for Fair in 1914.” <em>The Spokesman-Review</em>, November 18, 1913, 1."
citation_147,"“Preparing for the Second National Apple Show,” <em>The Wenatchee Daily World</em>, vol. 4, no. 290, June 17, 1909."
citation_148,"“Preparing for the Second National Apple Show,” <em>The Wenatchee Daily World</em>, vol. 4, no. 290, June 17, 1909."
citation_149,"“Apple Growers to Meet in Spokane,” <em>Morning Olympian</em>, March 23, 1912, 4."
citation_150,"Adam H. Irving Papers, 1905-1943. MsSC 141. Eastern Washington State Historical Society (Northwest Museum of Arts and Culture). Spokane, WA."
citation_151,"“Charged with Murder,” <em>The Colville Examiner</em>, no. 260 (October 19, 1912)."
citation_152,"<em>The Colville Examine</em>r, no. 317 (November 22, 1913)."
citation_153,"John Fahey, “When the Dutch Owned Spokane,” <em>Pacific Northwest Quarterly</em> 72, no. 1 (1981): 2-10."
